Metal,Substrate,theta,Temp,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NdValence,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled
Cu0.647Ge0.353,Y2O3,77,1423,127.764,1.93883,10,0,225,752.48,1.2
Cu0.563Ge0.437,Y2O3,68,1423,126.756,1.94807,10,0,225,752.48,1.2
Cu0.491Ge0.509,Y2O3,62,1423,125.892,1.95599,10,0,225,752.48,1.2
Cu0.258Ge0.742,Y2O3,56,1423,123.096,1.98162,10,0,225,752.48,1.2
Cu0.049Ge0.951,Y2O3,50,1423,120.588,2.00461,10,0,225,752.48,1.2
Ge,Y2O3,48,1423,120,2.01,10,0,225,752.48,1.2
Cu,Al2O3,137,1423,132,1.9,10,0,225,406.268,3.2
Cu0.825Ge0.175,Al2O3,132,1423,129.9,1.91925,10,0,225,406.268,3.2
Cu0.746Ge0.254,Al2O3,128,1423,128.952,1.92794,10,0,225,406.268,3.2
Cu0.724Ge0.276,Al2O3,125,1423,128.688,1.93036,10,0,225,406.268,3.2
Cu0.604Ge0.396,Al2O3,125,1423,127.248,1.94356,10,0,225,406.268,3.2
Cu0.542Ge0.458,Al2O3,124,1423,126.504,1.95038,10,0,225,406.268,3.2
Cu0.412Ge0.588,Al2O3,116,1423,124.944,1.96468,10,0,225,406.268,3.2
Cu0.201Ge0.799,Al2O3,115,1423,122.412,1.98789,10,0,225,406.268,3.2
Cu0.093Ge0.907,Al2O3,113,1423,121.116,1.99977,10,0,225,406.268,3.2
Sn,Al2O3,122.6036342,1423,139,1.96,10,0,141,406.268,3.2
Sn0.995Ti0.005,Al2O3,97.64038655,1423,139.105,1.9579,9.96,1.13E-07,141.265,406.268,3.2
Sn0.99Ti0.01,Al2O3,62.94615873,1423,139.21,1.9558,9.92,2.25E-07,141.53,406.268,3.2
Sn0.978Ti0.022,Al2O3,47.17062796,1423,139.462,1.95076,9.824,4.96E-07,142.166,406.268,3.2
Sn0.96Ti0.04,Al2O3,42.59766427,1423,139.84,1.9432,9.68,9.01E-07,143.12,406.268,3.2
Sn0.941Ti0.059,Al2O3,40.50968247,1423,140.239,1.93522,9.528,1.33E-06,144.127,406.268,3.2
Sn,Y2O3,84.69310847,1423,139,1.96,10,0,141,752.48,1.2
Sn0.995Ti0.005,Y2O3,75.7322488,1423,139.105,1.9579,9.96,1.13E-07,141.265,752.48,1.2
Sn0.988Ti0.012,Y2O3,48.0288049,1423,139.252,1.95496,9.904,2.70E-07,141.636,752.48,1.2
Sn0.98Ti0.02,Y2O3,33.21592478,1423,139.42,1.9516,9.84,4.51E-07,142.06,752.48,1.2
Sn0.967Ti0.033,Y2O3,29.25786351,1423,139.693,1.94614,9.736,7.44E-07,142.749,752.48,1.2
Sn0.953Ti0.047,Y2O3,25.68635499,1423,139.987,1.94026,9.624,1.06E-06,143.491,752.48,1.2
Sn0.942Ti0.058,Y2O3,24.47744487,1423,140.218,1.93564,9.536,1.31E-06,144.074,752.48,1.2
Sn,Er2O3,81.5633745,1423,139,1.96,10,0,141,740.88,1.2
Sn0.996Ti0.004,Er2O3,72.24879669,1423,139.084,1.95832,9.968,9.01E-08,141.212,740.88,1.2
Sn0.989Ti0.011,Er2O3,52.18088877,1423,139.231,1.95538,9.912,2.48E-07,141.583,740.88,1.2
Sn0.981Ti0.019,Er2O3,40.14700944,1423,139.399,1.95202,9.848,4.28E-07,142.007,740.88,1.2
Sn0.975Ti0.025,Er2O3,33.644267,1423,139.525,1.9495,9.8,5.63E-07,142.325,740.88,1.2
Sn0.961Ti0.039,Er2O3,24.84161039,1423,139.819,1.94362,9.688,8.79E-07,143.067,740.88,1.2
Sn0.951Ti0.049,Er2O3,24.33118167,1423,140.029,1.93942,9.608,1.10E-06,143.597,740.88,1.2
Sn0.94Ti0.06,Er2O3,23.12227156,1423,140.26,1.9348,9.52,1.35E-06,144.18,740.88,1.2
Cu0.94Ti0.06,Si1O2,27,1423,133.68,1.8784,9.52,1.35E-06,223.14,598.8666667,2.666666667
Cu0.94Ti0.06,Al2O3,21,1423,133.68,1.8784,9.52,1.35E-06,223.14,406.268,3.2
Cu0.94Ti0.06,Ti2O3,21,1423,133.68,1.8784,9.52,1.35E-06,223.14,809.28,1.2
Cu0.94Ti0.06,Mg1O1,26,1423,133.68,1.8784,9.52,1.35E-06,223.14,488.9,1
Cu0.425Pd0.425Ti0.15,Al2O3,34,1423,139.175,1.9735,8.8,3.38E-06,220.35,406.268,3.2
Cu0.425Pd0.425Ti0.15,Si1O2,36,1423,139.175,1.9735,8.8,3.38E-06,220.35,598.8666667,2.666666667
Cu0.425Pd0.425Ti0.15,Al2O3,31,1423,139.175,1.9735,8.8,3.38E-06,220.35,406.268,3.2
Si,Al2O3,80,1703,111,1.9,0,0,227,406.268,3.2
Si,Si1O2,92,1703,111,1.9,0,0,227,598.8666667,2.666666667
Si,Y2O3,63,1703,111,1.9,0,0,227,752.48,1.2
Si,Al2O3,95,1723,111,1.9,0,0,227,406.268,3.2
Si,Zr1O2,90,1723,111,1.9,0,0,227,745.8666667,1.333333333
Si,Mg1O1,101,1723,111,1.9,0,0,227,488.9,1
Si,Be1O1,88,1723,111,1.9,0,0,227,807.4,1
Si,Al2O3,100,1723,111,1.9,0,0,227,406.268,3.2
Si,Zr1O2,96,1723,111,1.9,0,0,227,745.8666667,1.333333333
Si,Mg1O1,95,1723,111,1.9,0,0,227,488.9,1
Si,Be1O1,76,1723,111,1.9,0,0,227,807.4,1
Si,Ti1O2,107,1723,111,1.9,0,0,227,683.5333333,1.333333333
Ni,Zr1O2,118,1773,124,1.91,8,0.5953947,225,745.8666667,1.333333333
Ni,Al2O3,128,1773,124,1.91,8,0.5953947,225,406.268,3.2
Ni,Be1O1,128,1773,124,1.91,8,0.5953947,225,807.4,1
Ni,Mg1O1,132,1773,124,1.91,8,0.5953947,225,488.9,1
Ni,Ti1O2,104,1773,124,1.91,8,0.5953947,225,683.5333333,1.333333333
Ni,Zr1O2,131,1773,124,1.91,8,0.5953947,225,745.8666667,1.333333333
Ni,Th1O2,132,1773,124,1.91,8,0.5953947,225,710.8666667,1.333333333
Ni,Al2O3,133,1773,124,1.91,8,0.5953947,225,406.268,3.2
Ni,Be1O1,152,1773,124,1.91,8,0.5953947,225,807.4,1
Ni,Mg1O1,152,1773,124,1.91,8,0.5953947,225,488.9,1
Ni,Ti1O2,143,1773,124,1.91,8,0.5953947,225,683.5333333,1.333333333
Ni,Zr1O2,120,1773,124,1.91,8,0.5953947,225,745.8666667,1.333333333
Ni,Th1O2,134,1773,124,1.91,8,0.5953947,225,710.8666667,1.333333333
Ni,Al2O3,141,1773,124,1.91,8,0.5953947,225,406.268,3.2
Ni,Be1O1,146,1773,124,1.91,8,0.5953947,225,807.4,1
Ni,Ti1O2,121,1773,124,1.91,8,0.5953947,225,683.5333333,1.333333333
Ni,Al2O3,112,1755,124,1.91,8,0.5953947,225,406.268,3.2
Ni0.97Al0.03,Al2O3,113,1755,123.91,1.901,7.76,0.577532859,225,406.268,3.2
Ni0.92Al0.08,Al2O3,134,1755,123.76,1.886,7.36,0.547763124,225,406.268,3.2
Ni0.75Al0.25,Al2O3,94,1670,123.25,1.835,6,0.446546025,225,406.268,3.2
Ni,Al2O3,108,1773,124,1.91,8,0.5953947,225,406.268,3.2
Ni,Al2O3,110,1773,124,1.91,8,0.5953947,225,406.268,3.2
Ni,Al2O3,107,1853,124,1.91,8,0.5953947,225,406.268,3.2
Ni,Al2O3,109,1755,124,1.91,8,0.5953947,225,406.268,3.2
Ni,Al2O3,112,1750,124,1.91,8,0.5953947,225,406.268,3.2
Ni0.97Al0.03,Al2O3,95,1750,123.91,1.901,7.76,0.577532859,225,406.268,3.2
Ni0.75Al0.25,Al2O3,83,1750,123.25,1.835,6,0.446546025,225,406.268,3.2
Al,Al2O3,65,1750,121,1.61,0,0,225,406.268,3.2
Cu0.425Pd0.425Ti0.15,Al2O3,128,1423,139.175,1.9735,8.8,3.38E-06,220.35,406.268,3.2
Cu0.425Pd0.425Ti0.15,Ti2O3,113,1423,139.175,1.9735,8.8,3.38E-06,220.35,809.28,1.2
Cu0.425Pd0.425Ti0.15,Ti1O1.14,82,1423,139.175,1.9735,8.8,3.38E-06,220.35,936.2018692,1.065420561
Cu0.425Pd0.425Ti0.15,Ti1O0.86,72,1423,139.175,1.9735,8.8,3.38E-06,220.35,1068.886022,0.924731183
Ni0.5Pd0.5,Al2O3,112.075347,1523,131.5,2.055,9,0.29769735,225,406.268,3.2
Ni0.49Pd0.491Ti0.019,Al2O3,103.8730998,1523,132.049,2.04536,8.868,0.291743831,224.411,406.268,3.2
Ni0.492Pd0.492Ti0.016,Al2O3,98.26173166,1523,131.956,2.04676,8.888,0.292934553,224.504,406.268,3.2
Ni0.486Pd0.486Ti0.028,Al2O3,94.85789822,1523,132.298,2.04058,8.804,0.289362455,224.132,406.268,3.2
Ni0.471Pd0.471Ti0.058,Al2O3,97.02247191,1523,133.153,2.02513,8.594,0.280432211,223.202,406.268,3.2
Ni0.464Pd0.465Ti0.071,Al2O3,96.14342366,1523,133.531,2.01858,8.504,0.276264741,222.799,406.268,3.2
Ni0.453Pd0.453Ti0.094,Al2O3,81.18968936,1523,134.179,2.00659,8.342,0.269715917,222.086,406.268,3.2
Ni0.442Pd0.442Ti0.116,Al2O3,76.07072042,1523,134.806,1.99526,8.188,0.263167071,221.404,406.268,3.2
Ni0.434Pd0.435Ti0.131,Al2O3,69.28949108,1523,135.241,1.98768,8.084,0.258404252,220.939,406.268,3.2
Ni0.424Pd0.425Ti0.151,Al2O3,72.32319894,1523,135.811,1.97738,7.944,0.252450755,220.319,406.268,3.2
Ni0.412Pd0.412Ti0.176,Al2O3,68.31791143,1523,136.516,1.96436,7.768,0.245306582,219.544,406.268,3.2
Ni0.4Pd0.4Ti0.2,Al2O3,57.57766028,1523,137.2,1.952,7.6,0.238162387,218.8,406.268,3.2
Ni0.384Pd0.385Ti0.231,Al2O3,50.46926636,1523,138.091,1.93618,7.384,0.22863677,217.839,406.268,3.2
Ni0.374Pd0.375Ti0.251,Al2O3,50.69398546,1523,138.661,1.92588,7.244,0.222683274,217.219,406.268,3.2
Ni,Al2O3,111,1773,124,1.91,8,0.5953947,225,406.268,3.2
Ni0.95Cr0.05,Al2O3,98,1773,124.75,1.8975,7.85,0.565624965,225.2,406.268,3.2
Ni0.9Cr0.1,Al2O3,91,1773,125.5,1.885,7.7,0.53585523,225.4,406.268,3.2
Ni0.85Cr0.15,Al2O3,89,1773,126.25,1.8725,7.55,0.506085495,225.6,406.268,3.2
Ni0.8Cr0.2,Al2O3,89,1773,127,1.86,7.4,0.47631576,225.8,406.268,3.2
Al,Al2O3,103,933,121,1.61,0,0,225,406.268,3.2
Au,Al2O3,120,1423,136,2.54,10,0,225,406.268,3.2
Co,Al2O3,113,1803,126,1.88,7,1.5484712,194,406.268,3.2
Ge,Al2O3,104,1423,120,2.01,10,0,225,406.268,3.2
Mn,Al2O3,103,1823,139,1.55,5,0.000310121,217,406.268,3.2
Pd,Al2O3,120,1873,139,2.2,10,0,225,406.268,3.2
Co,Al2O3,115,1793,126,1.88,7,1.5484712,194,406.268,3.2
Co,Co1O1,70,1773,126,1.88,7,1.5484712,194,911.4,1
Co,Zr1O2,118,1773,126,1.88,7,1.5484712,194,745.8666667,1.333333333
Fe,Al2O3,111,1848,132,1.83,6,2.1106628,229,406.268,3.2
Fe,Be1O1,127,1823,132,1.83,6,2.1106628,229,807.4,1
Fe,Ca1O1,132,1823,132,1.83,6,2.1106628,229,584.9,1
Fe,Cr2O3,88,1823,132,1.83,6,2.1106628,229,904.88,1.2
Fe,Mg1O1,123,1823,132,1.83,6,2.1106628,229,488.9,1
Fe,U1O2,123,1823,132,1.83,6,2.1106628,229,505.8666667,1.333333333
Fe,Zr1O2,115,1933,132,1.83,6,2.1106628,229,745.8666667,1.333333333
Ni,Al2O3,111,1808,124,1.91,8,0.5953947,225,406.268,3.2
Ni,Be1O1,127,1823,124,1.91,8,0.5953947,225,807.4,1
Ni,Ca1O1,135,1773,124,1.91,8,0.5953947,225,584.9,1
Ni,Co1O1,58,1773,124,1.91,8,0.5953947,225,911.4,1
Ni,Mg1O1,132,1823,124,1.91,8,0.5953947,225,488.9,1
Ni,Ni1O1,60,1773,124,1.91,8,0.5953947,225,891.4,1
Ni,Si1O2,125,1773,124,1.91,8,0.5953947,225,598.8666667,2.666666667
Ni,Ti1O2,105,1773,124,1.91,8,0.5953947,225,683.5333333,1.333333333
Ni,U1O2,112,1773,124,1.91,8,0.5953947,225,505.8666667,1.333333333
Ni,Zr1O2,121,1743,124,1.91,8,0.5953947,225,745.8666667,1.333333333
Ni,Al2O3,108,1823,124,1.91,8,0.5953947,225,406.268,3.2
Ni,Al2O3,112,1730,124,1.91,8,0.5953947,225,406.268,3.2
Sn,Co1O1,0.079470199,1173,139,1.96,10,0,141,911.4,1
Sn,Ni1O1,26.73377483,1273,139,1.96,10,0,141,891.4,1
Sn,Yb2O3,79.60529801,1423,139,1.96,10,0,141,469.68,1.2
Sn,Lu2O3,88.12715232,1423,139,1.96,10,0,141,807.28,1.2
Sn,Al2O3,120,1273,139,1.96,10,0,141,406.268,3.2
Sn,Mg1O1,121,505,139,1.96,10,0,141,488.9,1
Sn,Si1O2,124,505,139,1.96,10,0,141,598.8666667,2.666666667
Sn,Zr1O2,135.4728477,1073,139,1.96,10,0,141,745.8666667,1.333333333
Ni,Mg1O1,132.4,1773,124,1.91,8,0.5953947,225,488.9,1
Ni,Mg0.9Co0.1O1,127.6,1773,124,1.91,8,0.5953947,225,531.15,1
Ni,Mg0.7Co0.3O1,124,1773,124,1.91,8,0.5953947,225,615.65,1
Ni,Mg0.5Co0.5O1,122,1773,124,1.91,8,0.5953947,225,700.15,1
Ni,Mg0.3Co0.7O1,112,1773,124,1.91,8,0.5953947,225,784.65,1
Ni,Mg0.1Co0.9O1,74.4,1773,124,1.91,8,0.5953947,225,869.15,1
Ni,CuO2,58,1773,124,1.91,8,0.5953947,225,489.1233333,1.333333333
Sn,Ni1O1,27,1275,139,1.96,10,0,141,891.4,1
Ti,Mg1O1,0,2000,160,1.54,2,2.25E-05,194,488.9,1
Al,Si1O2,90,1073,121,1.61,0,0,225,598.8666667,2.666666667
Ga,Al2O3,129.7829634,305,122,1.81,10,0,64,406.268,3.2
Ga,Al2O3,127.8361619,438,122,1.81,10,0,64,406.268,3.2
Ga,Al2O3,126.3609661,583,122,1.81,10,0,64,406.268,3.2
Ga,Al2O3,124.2901436,773,122,1.81,10,0,64,406.268,3.2
Ga,Al2O3,121.6057441,973,122,1.81,10,0,64,406.268,3.2
Ga,Al2O3,119.3798956,1173,122,1.81,10,0,64,406.268,3.2
Ga,Si1O2,130.8730418,313,122,1.81,10,0,64,598.8666667,2.666666667
Ga,Si1O2,129.5414491,437,122,1.81,10,0,64,598.8666667,2.666666667
Ga,Si1O2,127.9144909,589,122,1.81,10,0,64,598.8666667,2.666666667
Ga,Si1O2,125.9970627,773,122,1.81,10,0,64,598.8666667,2.666666667
Ga,Si1O2,123.9343995,973,122,1.81,10,0,64,598.8666667,2.666666667
Ga,Si1O2,121.8603133,1173,122,1.81,10,0,64,598.8666667,2.666666667
Ga0.908Ni0.092,Si1O2,137,866,122.184,1.8192,9.816,0.054776312,78.812,598.8666667,2.666666667
Ga0.908Ni0.092,Si1O2,136,971,122.184,1.8192,9.816,0.054776312,78.812,598.8666667,2.666666667
Ga0.908Ni0.092,Si1O2,136,1076,122.184,1.8192,9.816,0.054776312,78.812,598.8666667,2.666666667
Ga0.908Ni0.092,Si1O2,135,1169,122.184,1.8192,9.816,0.054776312,78.812,598.8666667,2.666666667
Ga0.721Ag0.279,Si1O2,135,874,128.417,1.84348,10,0,108.919,598.8666667,2.666666667
Ga0.721Ag0.279,Si1O2,132,974,128.417,1.84348,10,0,108.919,598.8666667,2.666666667
Ga0.721Ag0.279,Si1O2,130,1072,128.417,1.84348,10,0,108.919,598.8666667,2.666666667
Ga0.721Ag0.279,Si1O2,126,1171,128.417,1.84348,10,0,108.919,598.8666667,2.666666667
Ga0.63Sn0.37,Si1O2,130,582,128.29,1.8655,10,0,92.49,598.8666667,2.666666667
Ga0.63Sn0.37,Si1O2,127,785,128.29,1.8655,10,0,92.49,598.8666667,2.666666667
Ga0.63Sn0.37,Si1O2,123,989,128.29,1.8655,10,0,92.49,598.8666667,2.666666667
Ga0.63Sn0.37,Si1O2,119,1161,128.29,1.8655,10,0,92.49,598.8666667,2.666666667
Ga0.353In0.647,Si1O2,127,440,134.94,1.79059,10,0,112.525,598.8666667,2.666666667
Ga0.353In0.647,Si1O2,125,589,134.94,1.79059,10,0,112.525,598.8666667,2.666666667
Ga0.353In0.647,Si1O2,121,784,134.94,1.79059,10,0,112.525,598.8666667,2.666666667
Ga0.353In0.647,Si1O2,118,983,134.94,1.79059,10,0,112.525,598.8666667,2.666666667
Ga0.353In0.647,Si1O2,116,1187,134.94,1.79059,10,0,112.525,598.8666667,2.666666667
Ga,Al2O3,121,1173,122,1.81,10,0,64,406.268,3.2
Ga0.985Cr0.015,Al2O3,119,1173,122.255,1.80775,9.925,0,66.475,406.268,3.2
Ga0.972Cr0.028,Al2O3,121,1173,122.476,1.8058,9.86,0,68.62,406.268,3.2
Ga0.961Cr0.039,Al2O3,118,1173,122.663,1.80415,9.805,0,70.435,406.268,3.2
Ga0.947Cr0.053,Al2O3,120,1173,122.901,1.80205,9.735,0,72.745,406.268,3.2
Ga0.939Cr0.061,Al2O3,118,1173,123.037,1.80085,9.695,0,74.065,406.268,3.2
Ga0.921Cr0.079,Al2O3,120,1173,123.343,1.79815,9.605,0,77.035,406.268,3.2
Ga0.917Cr0.083,Al2O3,117,1173,123.411,1.79755,9.585,0,77.695,406.268,3.2
Ga0.898Cr0.102,Al2O3,120,1173,123.734,1.7947,9.49,0,80.83,406.268,3.2
Ga,Al2O3,117,1323,122,1.81,10,0,64,406.268,3.2
Ga0.975Cr0.025,Al2O3,115,1323,122.425,1.80625,9.875,0,68.125,406.268,3.2
Ga0.944Cr0.056,Al2O3,114,1323,122.952,1.8016,9.72,0,73.24,406.268,3.2
Ga0.904Cr0.096,Al2O3,114,1323,123.632,1.7956,9.52,0,79.84,406.268,3.2
Ga0.884Cr0.116,Al2O3,114,1323,123.972,1.7926,9.42,0,83.14,406.268,3.2
Ga0.872Cr0.128,Al2O3,114,1323,124.176,1.7908,9.36,0,85.12,406.268,3.2
Ga0.851Cr0.149,Al2O3,112,1323,124.533,1.78765,9.255,0,88.585,406.268,3.2
Ga0.824Cr0.176,Al2O3,111,1323,124.992,1.7836,9.12,0,93.04,406.268,3.2
Ga0.808Cr0.192,Al2O3,111,1323,125.264,1.7812,9.04,0,95.68,406.268,3.2
Ga0.784Cr0.216,Al2O3,110,1323,125.672,1.7776,8.92,0,99.64,406.268,3.2
Ga0.995V0.005,Al2O3,109,1173,122.155,1.8091,9.965,0,64.825,406.268,3.2
Ga0.993V0.007,Al2O3,104,1173,122.217,1.80874,9.951,0,65.155,406.268,3.2
Ga0.99V0.01,Al2O3,103,1173,122.31,1.8082,9.93,0,65.65,406.268,3.2
Ga0.986V0.014,Al2O3,101,1173,122.434,1.80748,9.902,0,66.31,406.268,3.2
Ga0.982V0.018,Al2O3,97,1173,122.558,1.80676,9.874,0,66.97,406.268,3.2
Ga0.979V0.021,Al2O3,96,1173,122.651,1.80622,9.853,0,67.465,406.268,3.2
Ga0.996V0.004,Al2O3,106,1323,122.124,1.80928,9.972,0,64.66,406.268,3.2
Ga0.994V0.006,Al2O3,99,1323,122.186,1.80892,9.958,0,64.99,406.268,3.2
Ga0.993V0.007,Al2O3,97,1323,122.217,1.80874,9.951,0,65.155,406.268,3.2
Ga0.988V0.012,Al2O3,94,1323,122.372,1.80784,9.916,0,65.98,406.268,3.2
Ga0.983V0.017,Al2O3,92,1323,122.527,1.80694,9.881,0,66.805,406.268,3.2
Ga0.997Ti0.003,Al2O3,98,1173,122.114,1.80919,9.976,6.76E-08,64.39,406.268,3.2
Ga0.996Ti0.004,Al2O3,93,1173,122.152,1.80892,9.968,9.01E-08,64.52,406.268,3.2
Ga0.995Ti0.005,Al2O3,91,1173,122.19,1.80865,9.96,1.13E-07,64.65,406.268,3.2
Ga0.993Ti0.007,Al2O3,87,1173,122.266,1.80811,9.944,1.58E-07,64.91,406.268,3.2
Ga0.99Ti0.01,Al2O3,80,1173,122.38,1.8073,9.92,2.25E-07,65.3,406.268,3.2
Ga0.988Ti0.012,Al2O3,78,1173,122.456,1.80676,9.904,2.70E-07,65.56,406.268,3.2
Ga0.98Ti0.02,Al2O3,77,1173,122.76,1.8046,9.84,4.51E-07,66.6,406.268,3.2
Ga0.979Ti0.021,Al2O3,74,1173,122.798,1.80433,9.832,4.73E-07,66.73,406.268,3.2
Ga0.975Ti0.025,Al2O3,74,1173,122.95,1.80325,9.8,5.63E-07,67.25,406.268,3.2
Ga0.972Ti0.028,Al2O3,76,1173,123.064,1.80244,9.776,6.31E-07,67.64,406.268,3.2
Ga0.957Ti0.043,Al2O3,75,1173,123.634,1.79839,9.656,9.69E-07,69.59,406.268,3.2
Ga0.95Ti0.05,Al2O3,74,1173,123.9,1.7965,9.6,1.13E-06,70.5,406.268,3.2
Ga0.997Ti0.003,Al2O3,83,1323,122.114,1.80919,9.976,6.76E-08,64.39,406.268,3.2
Ga0.996Ti0.004,Al2O3,74,1323,122.152,1.80892,9.968,9.01E-08,64.52,406.268,3.2
Ga0.992Ti0.008,Al2O3,72,1323,122.304,1.80784,9.936,1.80E-07,65.04,406.268,3.2
Ga0.991Ti0.009,Al2O3,70,1323,122.342,1.80757,9.928,2.03E-07,65.17,406.268,3.2
Ga0.989Ti0.011,Al2O3,65,1323,122.418,1.80703,9.912,2.48E-07,65.43,406.268,3.2
Ga0.981Ti0.019,Al2O3,63,1323,122.722,1.80487,9.848,4.28E-07,66.47,406.268,3.2
Ga0.976Ti0.024,Al2O3,62,1323,122.912,1.80352,9.808,5.41E-07,67.12,406.268,3.2
Ga0.963Ti0.037,Al2O3,56,1323,123.406,1.80001,9.704,8.34E-07,68.81,406.268,3.2
Ga0.954Ti0.046,Al2O3,63,1323,123.748,1.79758,9.632,1.04E-06,69.98,406.268,3.2
Ga0.937Ti0.063,Al2O3,58,1323,124.394,1.79299,9.496,1.42E-06,72.19,406.268,3.2
Ga0.922Ti0.078,Al2O3,62,1323,124.964,1.78894,9.376,1.76E-06,74.14,406.268,3.2
Ga0.916Ti0.084,Al2O3,56,1323,125.192,1.78732,9.328,1.89E-06,74.92,406.268,3.2
Ga0.9Ti0.1,Al2O3,62,1323,125.8,1.783,9.2,2.25E-06,77,406.268,3.2
Ga0.89Ti0.11,Al2O3,63,1323,126.18,1.7803,9.12,2.48E-06,78.3,406.268,3.2
Ga0.885Ti0.115,Al2O3,56,1323,126.37,1.77895,9.08,2.59E-06,78.95,406.268,3.2
Ga,Si1O2,123,1173,122,1.81,10,0,64,598.8666667,2.666666667
Ga0.987Cr0.013,Si1O2,121,1173,122.221,1.80805,9.935,0,66.145,598.8666667,2.666666667
Ga0.978Cr0.022,Si1O2,122,1173,122.374,1.8067,9.89,0,67.63,598.8666667,2.666666667
Ga0.966Cr0.034,Si1O2,122,1173,122.578,1.8049,9.83,0,69.61,598.8666667,2.666666667
Ga0.94Cr0.06,Si1O2,120,1173,123.02,1.801,9.7,0,73.9,598.8666667,2.666666667
Ga0.931Cr0.069,Si1O2,120,1173,123.173,1.79965,9.655,0,75.385,598.8666667,2.666666667
Ga0.917Cr0.083,Si1O2,120,1173,123.411,1.79755,9.585,0,77.695,598.8666667,2.666666667
Ga0.904Cr0.096,Si1O2,121,1173,123.632,1.7956,9.52,0,79.84,598.8666667,2.666666667
Ga0.901Cr0.099,Si1O2,121,1173,123.683,1.79515,9.505,0,80.335,598.8666667,2.666666667
Ga,Si1O2,120,1323,122,1.81,10,0,64,598.8666667,2.666666667
Ga0.974Cr0.026,Si1O2,119,1323,122.442,1.8061,9.87,0,68.29,598.8666667,2.666666667
Ga0.953Cr0.047,Si1O2,118,1323,122.799,1.80295,9.765,0,71.755,598.8666667,2.666666667
Ga0.946Cr0.054,Si1O2,119,1323,122.918,1.8019,9.73,0,72.91,598.8666667,2.666666667
Ga0.909Cr0.091,Si1O2,117,1323,123.547,1.79635,9.545,0,79.015,598.8666667,2.666666667
Ga0.895Cr0.105,Si1O2,117,1323,123.785,1.79425,9.475,0,81.325,598.8666667,2.666666667
Ga0.88Cr0.12,Si1O2,117,1323,124.04,1.792,9.4,0,83.8,598.8666667,2.666666667
Ga0.835Cr0.165,Si1O2,116,1323,124.805,1.78525,9.175,0,91.225,598.8666667,2.666666667
Ga0.822Cr0.178,Si1O2,119,1323,125.026,1.7833,9.11,0,93.37,598.8666667,2.666666667
Ga0.784Cr0.216,Si1O2,118,1323,125.672,1.7776,8.92,0,99.64,598.8666667,2.666666667
Ga0.996V0.004,Si1O2,115,1173,122.124,1.80928,9.972,0,64.66,598.8666667,2.666666667
Ga0.993V0.007,Si1O2,116,1173,122.217,1.80874,9.951,0,65.155,598.8666667,2.666666667
Ga0.989V0.011,Si1O2,115,1173,122.341,1.80802,9.923,0,65.815,598.8666667,2.666666667
Ga0.983V0.017,Si1O2,114,1173,122.527,1.80694,9.881,0,66.805,598.8666667,2.666666667
Ga0.982V0.018,Si1O2,112,1173,122.558,1.80676,9.874,0,66.97,598.8666667,2.666666667
Ga0.996V0.004,Si1O2,114,1323,122.124,1.80928,9.972,0,64.66,598.8666667,2.666666667
Ga0.993V0.007,Si1O2,114,1323,122.217,1.80874,9.951,0,65.155,598.8666667,2.666666667
Ga0.988V0.012,Si1O2,114,1323,122.372,1.80784,9.916,0,65.98,598.8666667,2.666666667
Ga0.985V0.015,Si1O2,113,1323,122.465,1.8073,9.895,0,66.475,598.8666667,2.666666667
Ga0.98V0.02,Si1O2,114,1323,122.62,1.8064,9.86,0,67.3,598.8666667,2.666666667
Ga0.999Ti0.001,Si1O2,97,1173,122.038,1.80973,9.992,2.25E-08,64.13,598.8666667,2.666666667
Ga0.997Ti0.003,Si1O2,90,1173,122.114,1.80919,9.976,6.76E-08,64.39,598.8666667,2.666666667
Ga0.995Ti0.005,Si1O2,88,1173,122.19,1.80865,9.96,1.13E-07,64.65,598.8666667,2.666666667
Ga0.994Ti0.006,Si1O2,84,1173,122.228,1.80838,9.952,1.35E-07,64.78,598.8666667,2.666666667
Ga0.992Ti0.008,Si1O2,75,1173,122.304,1.80784,9.936,1.80E-07,65.04,598.8666667,2.666666667
Ga0.99Ti0.01,Si1O2,68,1173,122.38,1.8073,9.92,2.25E-07,65.3,598.8666667,2.666666667
Ga0.986Ti0.014,Si1O2,64,1173,122.532,1.80622,9.888,3.15E-07,65.82,598.8666667,2.666666667
Ga0.981Ti0.019,Si1O2,62,1173,122.722,1.80487,9.848,4.28E-07,66.47,598.8666667,2.666666667
Ga0.975Ti0.025,Si1O2,61,1173,122.95,1.80325,9.8,5.63E-07,67.25,598.8666667,2.666666667
Ga0.962Ti0.038,Si1O2,58,1173,123.444,1.79974,9.696,8.56E-07,68.94,598.8666667,2.666666667
Ga0.955Ti0.045,Si1O2,58,1173,123.71,1.79785,9.64,1.01E-06,69.85,598.8666667,2.666666667
Ga0.999Ti0.001,Si1O2,89,1323,122.038,1.80973,9.992,2.25E-08,64.13,598.8666667,2.666666667
Ga0.998Ti0.002,Si1O2,77,1323,122.076,1.80946,9.984,4.51E-08,64.26,598.8666667,2.666666667
